sample_id,experiment_id,aliquot_id,channel,mean_log10,std_log10,bin(log10)_0.05,bin(log10)_0.15,bin(log10)_0.25,bin(log10)_0.35,bin(log10)_0.45,bin(log10)_0.55,bin(log10)_0.65,bin(log10)_0.75,bin(log10)_0.85,bin(log10)_0.95,bin(log10)_1.05,bin(log10)_1.15,bin(log10)_1.25,bin(log10)_1.35,bin(log10)_1.45,bin(log10)_1.55,bin(log10)_1.65,bin(log10)_1.75,bin(log10)_1.85,bin(log10)_1.95,bin(log10)_2.05,bin(log10)_2.15,bin(log10)_2.25,bin(log10)_2.35,bin(log10)_2.45,bin(log10)_2.55,bin(log10)_2.65,bin(log10)_2.75,bin(log10)_2.85,bin(log10)_2.95,bin(log10)_3.05,bin(log10)_3.15,bin(log10)_3.25,bin(log10)_3.35,bin(log10)_3.45,bin(log10)_3.55,bin(log10)_3.65,bin(log10)_3.75,bin(log10)_3.85,bin(log10)_3.95,bin(log10)_4.05,bin(log10)_4.15,bin(log10)_4.25,bin(log10)_4.35,bin(log10)_4.45,bin(log10)_4.55,bin(log10)_4.65,bin(log10)_4.75,bin(log10)_4.85,bin(log10)_4.95,bin(log10)_5.05,bin(log10)_5.15,bin(log10)_5.25,bin(log10)_5.35,bin(log10)_5.45,bin(log10)_5.55,bin(log10)_5.65,bin(log10)_5.75,bin(log10)_5.85,bin(log10)_5.95,bin(log10)_6.05,bin(log10)_6.15,bin(log10)_6.25,bin(log10)_6.35,bin(log10)_6.45,bin(log10)_6.55,bin(log10)_6.65,bin(log10)_6.75,bin(log10)_6.85,bin(log10)_6.95,bin(log10)_7.05
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,FSC-A,4.0356597900390625,0.17921000719070435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,24,112,206,256,216,157,328,1099,12159,414,225,1237,215,144,57,30,16,10,5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,SSC-A,5.682069778442383,0.2977199852466583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,1,6,8,11,17,22,29,48,49,56,82,115,136,157,169,172,177,162,125,82,69,590,12002,1339,680,602,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,BL1-A,2.9088799953460693,0.9434800148010254,36,0,0,0,50,41,0,72,37,37,116,75,116,186,245,249,352,386,480,495,483,441,322,157,82,55,30,41,850,1227,118,151,85,2072,155,125,156,2036,169,96,2274,189,103,101,39,18,9,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,RL1-A,3.889240026473999,1.1848599910736084,10,0,0,0,13,18,0,22,10,15,36,28,53,49,63,78,108,133,168,189,290,306,439,398,258,142,64,37,44,77,169,906,988,163,140,76,43,28,18,306,1775,131,134,89,1957,257,104,170,60,171,1964,106,108,2186,189,105,93,34,17,5,1,6,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,FSC-H,4.022039890289307,0.17951999604701996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,284,335,287,211,286,644,12708,375,159,1104,203,39,12,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,SSC-H,5.660920143127441,0.34692999720573425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5,1,0,1,5,6,15,18,34,46,76,98,127,174,194,207,220,161,96,75,69,26,32,47,288,12456,1418,832,186,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,BL1-H,2.8369901180267334,0.8399199843406677,2,0,0,0,3,2,0,4,4,4,7,9,18,51,100,140,306,502,710,898,1118,1163,1065,534,167,60,38,27,622,1496,112,148,75,2136,114,159,103,2089,117,108,2329,146,80,94,23,13,6,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,RL1-H,3.772520065307617,1.2140599489212036,3,0,0,0,4,4,0,13,4,8,23,15,26,34,77,91,146,246,286,347,352,382,535,620,493,240,66,33,20,35,72,845,1212,210,154,59,28,24,25,323,1765,125,137,70,1984,260,87,166,48,319,1829,101,120,2232,163,76,90,24,13,4,2,3,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,FSC-W,0.8975899815559387,0.19359000027179718,19,0,0,0,27,84,0,1020,2795,5593,2991,55,314,158,1337,98,59,33,16,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1dw7h6ytxgn6d.experiment.transcriptic.r1dw646fd4qxya,experiment.transcriptic.r1dw646fd4qxya,aq1dw7h6ytxgn6d,SSC-W,1.840590000152588,0.10643000155687332,0,0,0,0,0,1,0,2,4,3,14,7,12,38,66,86,202,341,351,14801,458,136,89,118,93,23,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
