experiment_id,well,strain,experiment_reference,lab,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0
r1e7998zhy3gm8,a1,UWBF_6390,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.0338696323890335,False,False,14.221832607796236,0.051878738478936655
r1e7998zhy3gm8,a10,UWBF_25784,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.03265407404054689,False,False,60.30086134443202,0.10075761419979765
r1e7998zhy3gm8,a11,UWBF_25784,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.033615061024042464,False,False,46.24131836749989,0.07586506222567123
r1e7998zhy3gm8,a12,UWBF_25784,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_inducible_FP_25784,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.034645002248793084,False,False,25.77587449098092,0.07564694497758442
r1e7998zhy3gm8,a2,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.032724708926019724,False,False,22.662031151860692,0.05890813929240071
r1e7998zhy3gm8,a3,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.03456530927090453,False,False,13.62636715687397,0.05096322267848381
r1e7998zhy3gm8,a4,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.03357349362056791,False,False,32.59025693404312,0.07304997780143657
r1e7998zhy3gm8,a5,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.0375148865187216,False,False,29.33056362300701,0.10469386740508217
r1e7998zhy3gm8,a6,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.03375504392806008,False,False,8.046596774837324,0.023841786964715374
r1e7998zhy3gm8,a7,UWBF_24864,YeastSTATES-Beta-Estradiol-OR-Gate-Plant-TF-Growth-Curves,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,,SC Media with 200nM beta-estradiol,,,,"['Phosphate Buffered Saline', 'SC Media with 200nM beta-estradiol']",35.0,celsius,0.03297333744657721,False,False,25.70854819978517,0.08599510693338971
