sample_id,experiment_id,aliquot_id,channel,mean_log10,std_log10,bin(log10)_0.05,bin(log10)_0.15,bin(log10)_0.25,bin(log10)_0.35,bin(log10)_0.45,bin(log10)_0.55,bin(log10)_0.65,bin(log10)_0.75,bin(log10)_0.85,bin(log10)_0.95,bin(log10)_1.05,bin(log10)_1.15,bin(log10)_1.25,bin(log10)_1.35,bin(log10)_1.45,bin(log10)_1.55,bin(log10)_1.65,bin(log10)_1.75,bin(log10)_1.85,bin(log10)_1.95,bin(log10)_2.05,bin(log10)_2.15,bin(log10)_2.25,bin(log10)_2.35,bin(log10)_2.45,bin(log10)_2.55,bin(log10)_2.65,bin(log10)_2.75,bin(log10)_2.85,bin(log10)_2.95,bin(log10)_3.05,bin(log10)_3.15,bin(log10)_3.25,bin(log10)_3.35,bin(log10)_3.45,bin(log10)_3.55,bin(log10)_3.65,bin(log10)_3.75,bin(log10)_3.85,bin(log10)_3.95,bin(log10)_4.05,bin(log10)_4.15,bin(log10)_4.25,bin(log10)_4.35,bin(log10)_4.45,bin(log10)_4.55,bin(log10)_4.65,bin(log10)_4.75,bin(log10)_4.85,bin(log10)_4.95,bin(log10)_5.05,bin(log10)_5.15,bin(log10)_5.25,bin(log10)_5.35,bin(log10)_5.45,bin(log10)_5.55,bin(log10)_5.65,bin(log10)_5.75,bin(log10)_5.85,bin(log10)_5.95,bin(log10)_6.05,bin(log10)_6.15,bin(log10)_6.25,bin(log10)_6.35,bin(log10)_6.45,bin(log10)_6.55,bin(log10)_6.65,bin(log10)_6.75,bin(log10)_6.85,bin(log10)_6.95,bin(log10)_7.05
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,FSC-A,4.0406999588012695,0.14681999385356903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,57,116,115,51,37,460,11063,13564,781,462,2571,374,159,127,27,8,2,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,SSC-A,5.748020172119141,0.12960000336170197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,5,8,7,5,7,11,19,23,17,28,31,30,40,61,65,60,188,3683,21042,1958,1390,1316,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL1-A,3.0687100887298584,0.8546599745750427,43,0,0,0,48,45,0,89,51,43,160,102,115,168,261,295,350,554,655,731,827,738,574,289,139,100,66,134,2122,2246,260,345,210,4391,311,281,361,4291,324,277,4627,453,273,309,111,49,12,12,6,5,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL2-A,4.526299953460693,0.9069600105285645,2,0,0,0,6,4,0,9,2,1,10,7,10,16,25,31,24,46,39,54,60,64,90,109,118,106,106,88,69,73,106,237,486,1365,1868,508,265,226,119,102,67,67,94,4103,372,257,347,198,4439,282,346,232,4368,295,257,4496,531,269,299,124,51,43,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL3-A,4.0754899978637695,1.0243500471115112,11,0,0,0,10,18,0,19,8,11,42,23,29,42,76,56,84,94,107,106,149,143,135,136,208,327,639,1091,1059,525,260,175,127,85,61,82,569,3522,456,326,258,180,4283,373,297,326,139,101,4341,268,314,202,126,106,4455,317,141,231,45,23,12,13,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL4-A,4.421770095825195,1.0288300514221191,4,0,0,0,5,11,0,15,13,9,31,14,20,32,57,38,42,63,64,70,73,57,59,46,58,66,107,131,215,426,928,1438,794,274,186,107,79,60,78,595,3651,361,342,213,168,4349,344,337,261,119,70,1090,3437,223,294,159,87,3830,798,272,247,173,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL3-A,4.245389938354492,0.9823700189590454,10,0,0,0,8,9,0,14,11,11,32,15,25,37,45,47,63,70,63,94,76,103,94,93,90,118,144,228,418,1083,1628,738,266,201,100,77,50,62,121,3633,862,262,309,151,4340,377,322,272,114,557,3986,255,298,168,2740,1902,324,256,119,30,14,25,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL2-A,4.703700065612793,0.9101099967956543,6,0,0,0,9,10,0,16,10,4,17,12,21,31,27,34,26,36,52,48,41,23,30,17,17,10,23,25,28,45,70,104,214,391,1075,2445,353,307,175,108,81,57,60,62,1233,3237,253,344,185,4134,586,212,381,175,4395,315,310,4440,433,254,312,161,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL1-A,4.194129943847656,0.9283499717712402,5,0,0,0,6,8,0,22,10,3,26,13,19,46,57,47,64,92,121,148,173,181,201,164,90,62,50,81,135,274,892,2076,1134,292,259,138,105,63,74,64,2554,1935,240,326,188,4419,337,338,250,4350,355,325,4593,369,398,199,83,34,15,7,7,12,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL1-A,4.219079971313477,0.9587200284004211,2,0,0,0,4,10,0,10,4,3,21,9,10,22,34,41,40,69,77,110,188,204,275,290,240,132,68,76,125,261,504,1574,1879,319,293,172,107,67,62,165,4166,330,293,277,711,3913,324,306,206,125,4382,284,320,3225,1561,349,281,125,47,12,10,20,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL2-A,5.339940071105957,0.8170099854469299,0,0,0,0,0,3,0,4,4,1,7,4,4,6,14,10,16,17,27,22,31,43,66,72,58,66,37,21,13,16,10,11,15,13,18,16,19,21,43,59,121,281,686,2515,949,283,238,144,92,65,58,495,3931,324,339,190,3073,1560,305,356,131,10711,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL3-A,4.874849796295166,0.9785199761390686,2,0,0,0,6,5,0,3,2,2,3,3,10,11,22,19,47,41,60,67,73,109,97,110,105,78,40,32,27,42,29,38,75,116,173,264,509,1702,1616,258,272,147,94,63,61,477,3905,322,347,212,1711,2908,306,345,172,93,4033,539,211,350,2467,3035,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL4-A,3.8094499111175537,1.0170400142669678,12,0,0,0,12,14,0,21,7,7,35,34,38,51,67,70,81,132,154,182,240,280,368,452,569,806,860,714,428,216,132,130,225,1053,2587,841,305,259,502,3831,527,311,254,129,116,3087,1404,268,282,144,70,355,4182,347,251,101,35,17,9,7,0,5,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL3-A,3.7947700023651123,0.9701300263404846,9,0,0,0,6,6,0,10,9,10,27,10,27,31,42,48,62,88,95,125,172,219,322,425,585,811,1032,1031,847,475,266,191,241,745,2354,1352,338,285,247,2607,1973,308,319,194,151,4140,439,240,259,120,105,3506,1121,287,220,71,29,13,5,6,2,3,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL2-A,4.352340221405029,0.8707900047302246,1,0,0,0,1,1,0,1,1,2,1,4,4,4,2,4,7,14,13,21,19,33,36,61,69,86,105,177,324,482,681,675,632,1405,1942,542,292,215,157,94,163,2143,2261,299,327,277,4244,450,290,317,3068,1514,280,351,543,4128,363,299,102,44,18,28,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL1-A,5.270689964294434,0.7990300059318542,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,0,2,0,1,8,6,8,19,13,25,25,31,44,49,57,83,144,198,329,632,686,220,259,486,1382,2269,310,285,198,108,83,118,603,3761,353,318,253,2810,1837,299,320,726,10097,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,FSC-H,4.062389850616455,0.12453000247478485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,87,139,94,32,305,1320,23695,908,407,2458,462,37,14,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,SSC-H,5.758820056915283,0.12231999635696411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6,6,7,7,5,13,15,22,25,25,25,27,39,58,50,72,173,904,23439,2732,1926,418,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL1-H,3.0571799278259277,0.7590500116348267,1,0,0,0,0,1,0,1,2,0,3,1,4,19,29,57,122,274,524,910,1369,1771,1991,1001,299,146,93,68,1062,3403,237,358,195,4427,308,314,305,4369,292,268,4743,397,226,279,66,32,10,11,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL2-H,4.4170098304748535,1.0051900148391724,2,0,0,0,2,7,0,9,1,4,7,11,13,15,22,29,37,50,64,101,176,208,313,397,411,345,186,84,48,28,33,33,85,923,2898,762,335,219,136,84,55,54,69,3919,577,271,338,171,4517,238,327,243,4424,257,354,4065,927,233,265,85,40,28,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,BL3-H,3.9614200592041016,1.0928599834442139,13,0,0,0,12,12,0,24,12,11,31,27,38,51,98,102,194,235,332,355,315,196,157,93,109,201,520,1206,1656,927,370,220,129,82,58,45,182,3626,797,332,261,169,4127,546,311,284,109,112,4397,224,331,162,114,99,4546,278,200,125,47,12,11,4,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL4-H,4.297420024871826,1.114549994468689,10,0,0,0,6,9,0,20,5,13,23,17,46,51,72,97,135,202,231,223,216,159,116,71,44,36,53,76,145,320,978,1760,1271,402,215,121,75,58,46,324,3936,424,363,199,137,4433,318,331,193,96,63,2163,2471,147,343,109,60,4333,437,171,278,83,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL3-H,4.127230167388916,1.0581200122833252,7,0,0,0,7,3,0,19,6,4,23,21,30,42,67,69,107,173,215,275,363,345,253,138,63,37,44,87,275,1005,2133,1174,342,226,100,78,41,57,53,3649,947,314,254,130,4408,351,337,202,97,1440,3199,183,346,123,3861,901,220,267,55,24,14,14,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL2-H,4.598629951477051,1.0293200016021729,8,0,0,0,13,4,0,23,10,16,28,18,24,54,63,75,128,183,224,217,181,88,28,8,22,15,15,19,19,20,19,28,39,89,999,3119,509,353,180,118,68,47,43,49,1725,2813,229,364,136,4333,440,288,259,512,4129,257,338,4585,324,253,256,85,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,YL1-H,4.111100196838379,0.9770200252532959,2,0,0,0,6,2,0,7,7,7,30,15,26,27,42,58,70,136,169,219,335,403,413,369,214,84,38,37,38,86,666,2205,1591,392,276,137,93,58,49,48,2923,1610,266,323,152,4504,294,325,209,4461,306,352,4660,332,369,131,48,18,10,7,4,7,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL1-H,4.159140110015869,0.9883800148963928,1,0,0,0,7,3,0,11,5,4,14,7,11,19,40,31,47,72,87,118,211,284,430,525,482,221,92,45,35,29,164,1444,2661,534,319,171,108,57,50,73,4290,317,329,224,763,3935,273,304,165,114,4464,267,291,2807,2043,309,274,67,32,9,13,9,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL2-H,5.277820110321045,0.9143400192260742,2,0,0,0,3,5,0,7,2,1,4,0,8,6,11,14,26,30,40,52,61,91,121,141,152,156,120,70,32,21,13,9,15,9,15,15,18,19,21,30,22,27,119,2818,1656,346,253,152,86,50,48,121,4348,277,364,150,2545,2156,236,380,124,10648,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,RL3-H,4.809040069580078,1.0372300148010254,4,0,0,0,4,3,0,8,2,2,11,5,15,11,17,18,38,38,58,87,133,156,260,279,265,149,80,29,15,15,27,14,28,23,29,49,195,1741,2574,314,303,146,95,60,53,70,4369,295,363,172,1191,3488,262,348,122,83,4086,537,172,353,4608,851,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL4-H,3.7015199661254883,1.0310900211334229,2,0,0,0,6,3,0,15,4,7,19,15,23,30,55,51,99,151,201,269,434,517,610,604,725,950,1190,1034,598,260,144,103,177,1079,2693,854,351,237,705,3730,453,308,187,113,118,3828,722,275,226,98,115,695,3907,275,254,41,23,10,4,1,4,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL3-H,3.7492001056671143,0.9375399947166443,0,0,0,0,1,0,0,3,1,2,2,6,4,5,12,7,24,18,38,62,110,133,292,521,793,1135,1368,1559,1127,601,302,184,167,577,2567,1432,349,316,229,2909,1703,293,279,179,155,4261,322,283,182,116,130,4095,593,310,99,29,19,9,2,2,2,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL2-H,4.333509922027588,0.8460100293159485,0,0,0,0,0,1,0,1,1,1,2,0,1,2,1,1,0,3,2,4,13,10,24,23,28,41,80,122,251,575,880,684,495,1499,2464,606,303,227,130,110,122,2619,1849,292,332,266,4322,374,343,254,3907,722,287,315,769,3954,291,268,44,25,16,13,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,VL1-H,5.2392401695251465,0.7941700220108032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,5,8,5,7,13,21,20,17,23,43,47,76,220,491,1127,637,128,135,181,1893,2479,326,309,180,81,90,104,652,3757,318,342,221,3841,875,305,294,4587,6075,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,FSC-W,0.8777899742126465,0.21971000730991364,68,0,0,0,182,425,0,3662,7365,8555,3022,208,693,472,2904,243,135,41,12,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample.transcriptic.aq1e98epbt3v6zr.experiment.transcriptic.r1e88vpdr9u4jk,experiment.transcriptic.r1e88vpdr9u4jk,aq1e98epbt3v6zr,SSC-W,1.8487800359725952,0.07050999999046326,0,0,0,0,1,0,0,0,0,2,1,2,4,7,16,47,105,106,105,27996,1082,83,9,182,224,4,8,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
