experiment_id,well,strain,lab,strain_name,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,temperature,temperature_unit,od,dead,ungrowing,doubling_time,n0
r1e88vn4eg69sq,a1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03763676561321054,False,False,1.1825847881417728,0.012881790232212214
r1e88vn4eg69sq,a2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03864391535159059,False,False,4.386799836061971,0.15827177407036083
r1e88vn4eg69sq,a3,MediaControl,transcriptic,Media_control,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.036008150472313566,False,False,,
r1e88vn4eg69sq,a4,MediaControl,transcriptic,Media_control,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.036330203165502985,False,False,,
r1e88vn4eg69sq,b1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03795707759737995,False,False,1.3723873708876628,0.018082924086780798
r1e88vn4eg69sq,b2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.040569992884296135,False,False,1.3891151713097434,0.018790360035632756
r1e88vn4eg69sq,b3,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03863931361687446,False,False,1.360478913701597,0.026156294156217997
r1e88vn4eg69sq,b4,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.03967194706239771,False,False,1.1963993384797702,0.01748091556037066
r1e88vn4eg69sq,b5,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,30.0,nM,35.0,celsius,0.040490822634254284,False,False,1.282765734778604,0.024653956204769144
r1e88vn4eg69sq,b6,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,20.0,nM,35.0,celsius,0.04058983716505881,False,False,1.2604111374999236,0.01813864899731245
r1e88vn4eg69sq,b7,UWBF_34314,transcriptic,CRISPR_CEN.PK2_34314,Synthetic_Complete,doxycycline-hyclate,40.0,nM,35.0,celsius,0.04020569356984943,False,False,1.1835545047438112,0.017635002585324844
r1e88vn4eg69sq,c1,UWBF_6390,transcriptic,CRISPR_w303_positive_control_NOR_00_6390,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.03882545738976625,False,False,1.3923076067118223,0.02607373807121343
r1e88vn4eg69sq,c2,UWBF_24864,transcriptic,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.04003606656999336,False,False,0.8448920774429842,0.0031133828425378967
r1e88vn4eg69sq,c3,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,0.0,nM,35.0,celsius,0.33397168893935825,False,False,1.938851112235391,0.058571523574636984
r1e88vn4eg69sq,c4,UWBF_34315,transcriptic,CRISPR_CEN.PK2_34315,Synthetic_Complete,doxycycline-hyclate,10.0,nM,35.0,celsius,0.03894621561187541,False,False,1.126114681452784,0.014098234588571986
